ip,hostname,app,businesses,dev,own
10.200.200.20,VMWareCenter5,虚拟化平台,虚拟化平台,caiyg,caiyg
192.168.26.208,cmwa-cms-server01,财富-综合业务平台-外部数据转换服务SERVER,财富-综合业务系统,liuyu&zuotc,yangyn
192.168.26.209,cmwa-cms-server02,财富-综合业务平台-外部数据转换服务SERVER,财富-综合业务系统,liuyu&zuotc,yangyn
172.18.7.134,gitserver-int,Gitlab,Gitlab,gongyl1&xingxj,yangyn&wangy2
192.168.26.234,one-wps,项目管理应用（ONES）,项目管理系统（ONES）,gongyl1&xingxj,lijl2
172.19.16.21,acloudsrv043,电商iaas平台宿主机,玄武iaas平台,xiegb,wangy2
172.19.16.22,acloudsrv044,电商iaas平台宿主机,玄武iaas平台,xiegb,wangy2
172.19.16.23,acloudsrv045,电商iaas平台宿主机,玄武iaas平台,xiegb,wangy2
172.19.16.24,acloudsrv046,电商iaas平台宿主机,玄武iaas平台,xiegb,wangy2
172.19.16.25,acloudsrv047,电商iaas平台宿主机,玄武iaas平台,xiegb,wangy2
172.19.16.26,acloudsrv048,电商iaas平台宿主机,玄武iaas平台,xiegb,wangy2
192.168.26.236,sonarqube-ext,Sonar,Sonar,gongyl1&xingxj,lijl2&wangy2&xingxj
172.18.9.195,TDH-pythontask2,基金-机器学习SOPHON应用,基金-机器学习系统,zhuyy,zhuyy
172.18.4.94,salesdc,基金-Airflow任务调度&基金-数据湖部署集群,基金-数据任务调度&基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.6.90,OTC-Fisp02,FISP前置应用,场外交易-交易网关,xiaj&huangchao&guocw,wangy2&caiyg
172.18.6.56,SZT-ZRT01,深证通-转融通,基金-深证通平台,linpc,linpc
192.168.5.58,Flow-monitor.schneider-electric.com,流量监控与分析系统管理中心,基金-流量监控与分析系统,guopk,guopk
172.18.9.75,TAQS-Support03,后羿TA-TA资金清算WEB应用,基金-后羿TA资金清算系统,yangxb,ling
172.18.9.74,TAQS-Support02,后羿TA-TA资金清算WEB应用,基金-后羿TA资金清算系统,yangxb,ling
172.18.9.72,TAQS-Server02,后羿TA-TA资金清算WEB应用,基金-后羿TA资金清算系统,yangxb,ling
172.18.9.71,TAQS-Server01,后羿TA-TA资金清算WEB应用,基金-后羿TA资金清算系统,yangxb,ling
172.18.9.73,TAQS-Support01,后羿TA-TA资金清算WEB应用,基金-后羿TA资金清算系统,yangxb,ling
172.18.9.81,TAQS-Monitor02,后羿TA-TA资金清算WEB应用,基金-后羿TA资金清算系统,yangxb,ling
172.18.9.76,TAQS-Front01,后羿TA-TA资金清算WEB应用,基金-后羿TA资金清算系统,yangxb,ling
172.18.9.77,TAQS-Front02,后羿TA-TA资金清算WEB应用,基金-后羿TA资金清算系统,yangxb,ling
172.18.9.79,TAQS-Connect02,后羿TA-TA资金清算WEB应用,基金-后羿TA资金清算系统,yangxb,ling
172.18.9.78,TAQS-Connect01,后羿TA-TA资金清算WEB应用,基金-后羿TA资金清算系统,yangxb,ling
172.18.9.80,TAQS-Monitor01,后羿TA-TA资金清算WEB应用,基金-后羿TA资金清算系统,yangxb,ling
172.18.9.36,SZT-RTSS02,深证通-基金实时申赎,基金-深证通平台,linpc,linpc
172.18.9.35,SZT-RTSS01,深证通-基金实时申赎,基金-深证通平台,linpc,linpc
172.18.9.37,SJS-HQ05,深交所交易网关&深交所行情网关,基金-深交所相关&基金-深交所相关,linpc&xukw,linpc&xukw
172.19.240.32,dce-ec-prod-mgt03,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
172.19.240.37,dce-ec-prod-w03,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
172.19.240.31,dce-ec-prod-mgt02,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
172.19.240.30,dce-ec-prod-mgt01,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
172.19.240.34,dce-ec-prod-infra02,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
172.19.240.33,dce-ec-prod-infra01,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
172.19.240.36,dce-ec-prod-w02,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
172.19.240.35,dce-ec-prod-w01,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
192.168.27.65,ABC-Front03,基金-TA资金清算系统应用服务,基金-TA资金清算系统,wuys,wuys
172.18.9.68,CMF-ZJQS-backup,基金-TA资金清算系统应用服务,基金-TA资金清算系统,wuys,wuys
172.18.9.67,CMF-ZJQS-backup,基金-TA资金清算系统应用服务,基金-TA资金清算系统,wuys,wuys
192.168.6.147,OTC-client2,银行间交易-RPA,场外交易-数据网关,huangchao,wangy2
172.18.4.123,xmessage-db01,基金-xMessage控制管理后台,基金-xMessage短信发送,xiaox,ling
172.18.7.107,Tableau-Server01,基金-北斗经营分析,基金-北斗经营分析系统,zhuyy,zhuyy
172.18.0.79,zhuowo-server01,FA精细化运作,基金-FA精细化运作管理系统,liuyu,xiah&wangy2&caiyg
172.18.4.92,FA-ZZH-TJ03,FA精细化运作,基金-FA精细化运作管理系统,liuyu,xiah&wangy2&caiyg
172.18.9.90,FA-ZZH-TJ01,FA精细化运作,基金-FA精细化运作管理系统,liuyu,xiah&wangy2&caiyg
172.18.9.91,FA-ZZH-TJ02,FA精细化运作,基金-FA精细化运作管理系统,liuyu,xiah&wangy2&caiyg
172.18.4.23,zhuowo-server02,FA精细化运作,基金-FA精细化运作管理系统,liuyu,xiah&wangy2&caiyg
192.168.7.138,crawler-server,爬虫服务应用,基金-爬虫服务系统,liweijie,caiyg
172.19.0.81,信安世纪Mauth-1,国密,基金-国密,yangyn&guopk&ling,yangyn&guopk&ling
172.19.0.82,信安世纪Mauth-2,国密,基金-国密,yangyn&guopk&ling,yangyn&guopk&ling
172.18.4.44,tdhes3,基金-机器学习SOPHON应用,基金-机器学习系统,zhuyy,zhuyy
192.168.5.47,flowmonitor-wx,流量监控与分析系统一期-威新,基金-流量监控与分析系统,,guopk&ling
192.168.5.60,flowmonitor-pbs,流量监控与分析系统二期-鹏博士,基金-流量监控与分析系统,,guopk&ling
192.168.8.62,trustpingan-rpa,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
192.168.1.2,Bluecat-bam,,,,
192.168.26.243,cmwaapollo-adminiservice,财富-apollo配置中心,财富-公共服务平台,zhangsk,wangy2
192.168.26.244,cmwaapollo-mysql,财富-apollo配置中心,财富-公共服务平台,zhangsk,wangy2
192.168.26.241,cmwaapollo-portal,财富-apollo配置中心,财富-公共服务平台,zhangsk,wangy2
192.168.26.242,cmwaapollo-adminiservice,财富-apollo配置中心,财富-公共服务平台,zhangsk,wangy2
192.168.26.245,cmwa-apollo05,财富-apollo配置中心,财富-公共服务平台,zhangsk,wangy2
192.168.7.140,ICBC-Front03,基金-TA支付网关-中国银行,基金-TA赢时胜支付网关平台,,zhouyao&wuys
192.168.5.231,QingtengServer02,青藤云HIDS,青藤云安全平台,quankw&yangyn,yangyn&caiyg
192.168.5.230,QingtengServer01,青藤云HIDS,青藤云安全平台,quankw&yangyn,yangyn&caiyg
192.168.5.232,QingtengServer03,青藤云HIDS,青藤云安全平台,quankw&yangyn,yangyn&caiyg
192.168.5.233,QingtengServer04,青藤云HIDS,青藤云安全平台,quankw&yangyn,yangyn&caiyg
192.168.7.164,Infodata-interface,基金-资讯数据库,基金-资讯下载系统,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.9.11,hadoop11,基金-数据湖部署集群,基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.9.12,hadoop12,基金-数据湖部署集群,基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.9.13,hadoop13,基金-数据湖部署集群,基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.9.14,hadoop14,基金-数据湖部署集群,基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.9.15,hadoop15,基金-数据湖部署集群,基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.9.16,hadoop16,基金-数据湖部署集群,基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.9.111,cmfrtp11,基金-实时数据网关&基金-数据湖部署集群,基金-数据网关&基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.9.112,cmfrtp12,基金-实时数据网关&基金-数据湖部署集群,基金-数据网关&基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.9.113,cmfrtp13,基金-实时数据网关&基金-数据湖部署集群,基金-数据网关&基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.9.103,cmfrtp03,基金-实时数据网关&基金-数据湖部署集群,基金-数据网关&基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.9.104,cmfrtp04,基金-实时数据网关&基金-数据湖部署集群,基金-数据网关&基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
172.18.9.48,productchaincomm,基金-知识图谱应用,基金-CDH知识图谱系统,zhuyy&huangzj,zhuyy&wangy2&huangzj
172.18.9.47,productchainapp,基金-知识图谱应用,基金-CDH知识图谱系统,zhuyy&huangzj,zhuyy&wangy2&huangzj
192.168.6.163,CMB-Front04,预算管理-budgetManagement,基金-财务管理系统,kongwt&huxm,wangy2
192.168.34.33,dce-proxy-01,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
192.168.34.34,dce-proxy-02,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
192.168.5.125,dce-manager-5,DaoCloud容器平台,DaoCloud容器平台,caiyg,caiyg&guopk
192.168.7.226,RPA-CMB2,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
192.168.27.74,ZZ-HR-Redis02,基金-人力资源管理,基金-人力资源管理系统,liujie,xieys&wangy2
192.168.27.73,ZZ-HR-Redis01,基金-人力资源管理,基金-人力资源管理系统,liujie,xieys&wangy2
192.168.27.72,ZZ-HR-Server02,基金-人力资源管理,基金-人力资源管理系统,liujie,xieys&wangy2
192.168.27.71,ZZ-HR-Server01,基金-人力资源管理,基金-人力资源管理系统,liujie,xieys&wangy2
192.168.27.75,ZZ-HR-Redis03,基金-人力资源管理,基金-人力资源管理系统,liujie,xieys&wangy2
192.168.68.230,sdata-proxy-68,统一监控平台,统一监控平台,caiyg,caiyg
172.19.240.200,sdata-proxy-240,统一监控平台,统一监控平台,caiyg,caiyg
172.18.8.238,qdatacloud01,QDATA数据库监控,生产环境ORACLE数据库,,xieys&liup1
172.18.8.101,newfa01,CMFOS外包业务新数据库&FAXDB电子传真系统数据库&CMWAFADB数据库&FADBARC数据库,生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库,,xieys&liup1
172.18.8.103,newfa02,CMFOS外包业务新数据库&FAXDB电子传真系统数据库&CMWAFADB数据库&FADBARC数据库,生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库,,xieys&liup1
172.18.8.105,newfa03,CMFOS外包业务新数据库&FAXDB电子传真系统数据库&CMWAFADB数据库&FADBARC数据库,生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库,,xieys&liup1
172.19.6.200,sdata-proxy-ec3,统一监控平台,统一监控平台,caiyg,caiyg
172.18.9.99,fisetl,基金-Airflow任务调度&基金-数据湖部署集群,基金-数据任务调度&基金-数据湖,zhucj&liweijie,wangy2&zhucj&liweijie
192.168.27.30,cmfwxrobot02,投研智能助手-微信机器人,投研智能助手,liujie&kongwt&zhaoxf,wangy2
192.168.27.29,cmfwxrobot01,投研智能助手-微信机器人,投研智能助手,liujie&kongwt&zhaoxf,wangy2
192.168.2.17,HRM-Nginx,基金-人力资源管理,基金-人力资源管理系统,liujie,xieys&wangy2
192.168.27.63,crm-app,CRM,基金-CRM系统,xiaox&yangshuo,ling
172.18.4.148,HS-Trans148,恒生O32深交所行情转换机应用,恒生O32深交所相关系统,xukw,xukw
192.168.7.73,info-download,基金-资讯数据库,基金-资讯下载系统,zhucj&liweijie,wangy2&zhucj&liweijie
192.168.27.40,rpa-newstock02,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
192.168.27.39,rpa-newstock01,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
192.168.27.68,LibreOffice-Server02,Linux-Libreoffice-研究&投研智能助手-微信机器人,投研智能助手&投研智能助手,liujie&kongwt&zhaoxf,wangy2
192.168.27.67,LibreOffice-Server01,Linux-Libreoffice-研究&投研智能助手-微信机器人,投研智能助手&投研智能助手,liujie&kongwt&zhaoxf,wangy2
172.18.9.87,fadb_ro,FA只读数据库(For-CDC-Qlik),生产环境只读数据库,,xieys&liup1
172.18.9.86,infodb_ro,CDBINFO资讯只读数据库,生产环境只读数据库,,xieys&liup1
192.168.31.136,AVAYA-AES10,AVAYACM01,IP电话系统,lixk,lixk
172.18.8.121,cmwaoltp01,CMWAMTX招财通和指令模块以及场外交易系统数据库&CMWACO数据库&CMWAHYQS数据库&数据库CMWAOP&CMWAFMS数据库&CMWASO数据库&CMWASEAL数据库,生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库,wangzy,xieys&liup1
172.18.8.123,cmwaoltp02,CMWAMTX招财通和指令模块以及场外交易系统数据库&CMWACO数据库&CMWAHYQS数据库&数据库CMWAOP&CMWAFMS数据库&CMWASO数据库&CMWASEAL数据库,生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库,wangzy,xieys&liup1
172.18.8.125,cmwaoltp03,CMWAMTX招财通和指令模块以及场外交易系统数据库&CMWACO数据库&CMWAHYQS数据库&数据库CMWAOP&CMWAFMS数据库&CMWASO数据库&CMWASEAL数据库,生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库,wangzy,xieys&liup1
192.168.27.70,Model-Portfolio-MS02,模拟组合&新模拟组合应用,基金-模拟组合系统&基金-模拟组合系统,xiaj&yangyi,caiyg
192.168.27.69,Model-Portfolio-MS01,模拟组合&新模拟组合应用,基金-模拟组合系统&基金-模拟组合系统,xiaj&yangyi,caiyg
192.168.7.192,ones-pms01,项目管理应用（ONES）,项目管理系统（ONES）,gongyl1&xingxj,lijl2
172.18.7.218,ONES-Mysql-101,项目管理应用（ONES）,项目管理系统（ONES）,gongyl1&xingxj,lijl2
192.168.26.213,Index-trade-server,聚源实时行情服务,基金-IMS统一指令管理系统,xiah&kongwt&zhaoxf,wangy2
172.18.8.131,cmwaolap01,CMWADW招商财富新数仓数据库&CMWAFIT数据库&CMWACRE数控&CMWADC数据库,生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库,,xieys&liup1
172.18.8.133,cmwaolap02,CMWADW招商财富新数仓数据库&CMWAFIT数据库&CMWACRE数控&CMWADC数据库,生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库,,xieys&liup1
172.18.8.135,cmwaolap03,CMWADW招商财富新数仓数据库&CMWAFIT数据库&CMWACRE数控&CMWADC数据库,生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库&生产环境ORACLE数据库,,xieys&liup1
192.168.6.160,VLAN6_EC_matlab,,,,
192.168.2.92,superset-nginx,基金-北斗经营分析,基金-北斗经营分析系统,zhuyy,zhuyy
192.168.6.6,ARAC02,恒生O32宽途AR,恒生O32宽途客户端系统,liujy3&xukw,liujy3&xukw
172.18.3.138,QH-Trans05,恒生O32应用中间件,恒生O32应用中间件,liujy3&xukw&dengjl,liujy3&xukw&ex-qianzj&dengjl
192.168.22.26,Wxoa-Nginx02,招金微办公Apache,基金-移动OA,xud,wangy2
192.168.22.25,Wxoa-Nginx01,招金微办公Apache,基金-移动OA,xud,wangy2
192.168.6.90,FOMS03,场外交易系统主应用-CMF.OTCP.MAIN,场外交易-交割服务,huangchao&guocw,wangy2
172.18.7.229,Bond-audit-rpa,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
192.168.27.78,secutity-exchange02,券商交互（内部端）,基金-携宁券商交互系统,xiaj&ganq,caiyg
192.168.27.77,secutity-exchange01,券商交互（内部端）,基金-携宁券商交互系统,xiaj&ganq,caiyg
192.168.5.5,convert-server,虚拟化平台,虚拟化平台,caiyg,caiyg
172.19.16.96,cmfec-prod-apigateway002,cmfec-gw-appapi,基金-母公司电商,xiegb,zhaolh
172.19.16.95,cmfec-prod-apigateway001,cmfec-gw-appapi,基金-母公司电商,xiegb,zhaolh
172.19.16.97,cmfec-prod-xxljob-admin001,母公司电商公共服务调度组件xxljob,基金-母公司电商,xiegb,zhaolh
172.19.16.98,cmfec-prod-xxljob-admin002,母公司电商公共服务调度组件xxljob,基金-母公司电商,xiegb,zhaolh
172.19.16.100,cmfec-prod-apollo002,母公司电商公共服务消息组件apollo,基金-母公司电商,xiegb,zhaolh
172.19.16.99,cmfec-prod-apollo001,母公司电商公共服务消息组件apollo,基金-母公司电商,xiegb,zhaolh
172.19.16.106,cmfec-prod-redis003,母公司电商公共服务消息组件redis,基金-母公司电商,xiegb,zhaolh
172.19.16.105,cmfec-prod-redis002,母公司电商公共服务消息组件redis,基金-母公司电商,xiegb,zhaolh
172.19.16.104,cmfec-prod-redis001,母公司电商公共服务消息组件redis,基金-母公司电商,xiegb,zhaolh
172.19.16.103,cmfec-prod-zookeeper003,母公司电商公共服务消息组件zookeeper,基金-母公司电商,xiegb,wangy2&zhaolh
172.19.16.102,cmfec-prod-zookeeper002,母公司电商公共服务消息组件zookeeper,基金-母公司电商,xiegb,wangy2&zhaolh
172.19.16.101,cmfec-prod-zookeeper001,母公司电商公共服务消息组件zookeeper,基金-母公司电商,xiegb,wangy2&zhaolh
172.19.16.109,cmfec-prod-nacos003,母公司电商公共服务消息组件nacos,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.108,cmfec-prod-nacos002,母公司电商公共服务消息组件nacos,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.107,cmfec-prod-nacos001,母公司电商公共服务消息组件nacos,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.110,cmfec-prod-kafka001,母公司电商公共服务消息组件kafka,基金-母公司电商,xiegb,zhaolh
172.19.16.111,cmfec-prod-kafka002,母公司电商公共服务消息组件kafka,基金-母公司电商,xiegb,zhaolh
172.19.16.112,cmfec-prod-kafka003,母公司电商公共服务消息组件kafka,基金-母公司电商,xiegb,zhaolh
172.19.28.5,cmfec-pre-iaas-nginx001,cmfec-static-zqbh5,基金-母公司电商,hanlh,zhaolh
172.19.16.114,cmfec-prod-commonweb002,cmfec-bff-commonweb,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.113,cmfec-prod-commonweb001,cmfec-bff-commonweb,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.115,cmfec-prod-appweb001,cmfec-bff-appweb,基金-母公司电商,tanzj&xiegb&liyq&yanyn,zhaolh
172.19.16.116,cmfec-prod-appweb002,cmfec-bff-appweb,基金-母公司电商,tanzj&xiegb&liyq&yanyn,zhaolh
172.19.16.117,cmfec-prod-wxweb001,cmfec-bff-wxweb,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.16.118,cmfec-prod-wxweb002,cmfec-bff-wxweb,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.16.119,cmfec-prod-shorturl001,cmfec-web-shorturl,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.120,cmfec-prod-shorturl002,cmfec-web-shorturl,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.121,cmfec-prod-ecweb001,cmfec-web-ecweb,基金-母公司电商,tanzj&xiegb&huyy&yanyn,wangy2&zhaolh
172.19.16.122,cmfec-prod-ecweb002,cmfec-web-ecweb,基金-母公司电商,tanzj&xiegb&huyy&yanyn,wangy2&zhaolh
172.19.16.124,cmfec-prod-partner002,cmfec-bff-partnerbff,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.123,cmfec-prod-partner001,cmfec-bff-partnerbff,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.125,cmfec-prod-tpweb001,cmfec-bff-tpweb,电商三方接入系统,tanzj&liugr&xiegb&yanyn,wangy2&zhaolh
172.19.16.126,cmfec-prod-tpweb002,cmfec-bff-tpweb,电商三方接入系统,tanzj&liugr&xiegb&yanyn,wangy2&zhaolh
172.19.16.127,cmfec-prod-entweb001,cmfec-web-entweb,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.16.128,cmfec-prod-entweb002,cmfec-web-entweb,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.16.132,cmfec-prod-ecorder002,cmfec-core-order,基金-母公司电商,tanzj&xiegb&yanyn,wangy2&zhaolh
172.19.16.131,cmfec-prod-ecorder001,cmfec-core-order,基金-母公司电商,tanzj&xiegb&yanyn,wangy2&zhaolh
172.19.16.134,cmfec-prod-ecpayment002,cmfec-core-payment,基金-母公司电商,tanzj&xiegb&yanyn,wangy2&zhaolh
172.19.16.133,cmfec-prod-ecpayment001,cmfec-core-payment,基金-母公司电商,tanzj&xiegb&yanyn,wangy2&zhaolh
172.19.16.136,cmfec-prod-ecasyn002,cmfec-core-asyn,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.135,cmfec-prod-ecasyn001,cmfec-core-asyn,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.137,cmfec-prod-ecasset001,cmfec-core-asset,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.138,cmfec-prod-ecasset002,cmfec-core-asset,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.129,cmfec-prod-ecproduct001,cmfec-core-product,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.130,cmfec-prod-ecproduct002,cmfec-core-product,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.140,cmfec-prod-ecmarket002,cmfec-core-market,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.16.139,cmfec-prod-ecmarket001,cmfec-core-market,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.16.144,cmfec-prod-ecmsg002,cmfec-core-msg,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.143,cmfec-prod-ecmsg001,cmfec-core-msg,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.146,cmfec-prod-ecuser002,cmfec-core-user,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.145,cmfec-prod-ecuser001,cmfec-core-user,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.142,cmfec-prod-ecquery002,cmfec-core-query,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.141,cmfec-prod-ecquery001,cmfec-core-query,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.147,cmfec-prod-ecsecurity001,cmfec-core-security,基金-母公司电商,tanzj&xiegb&yanyn,wangy2&zhaolh
172.19.16.148,cmfec-prod-ecsecurity002,cmfec-core-security,基金-母公司电商,tanzj&xiegb&yanyn,wangy2&zhaolh
172.19.16.150,cmfec-prod-eccredit002,cmfec-core-credit,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.149,cmfec-prod-eccredit001,cmfec-core-credit,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.151,cmfec-prod-ecsearchcenter001,cmfec-core-search,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.152,cmfec-prod-ecsearchcenter002,cmfec-core-search,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.153,cmfec-prod-ecats001,cmfec-core-ats,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.154,cmfec-prod-ecats002,cmfec-core-ats,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.155,cmfec-prod-iagw001,cmfec-gw-ia,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.156,cmfec-prod-iagw002,cmfec-gw-ia,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.158,cmfec-prod-ecclear002,cmfec-core-clear,基金-母公司电商,tanzj&liugr&xiegb&yanyn,zhaolh
172.19.16.157,cmfec-prod-ecclear001,cmfec-core-clear,基金-母公司电商,tanzj&liugr&xiegb&yanyn,zhaolh
172.19.16.163,cmfec-prod-eccif001,cmfec-core-cif,基金-母公司电商,tanzj&xiegb&yanyn,wangy2&zhaolh
172.19.16.164,cmfec-prod-eccif002,cmfec-core-cif,基金-母公司电商,tanzj&xiegb&yanyn,wangy2&zhaolh
172.19.16.165,cmfec-prod-iap001,cmfec-core-iap,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.166,cmfec-prod-iap002,cmfec-core-iap,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.168,cmfec-prod-ias002,cmfec-core-ias,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.167,cmfec-prod-ias001,cmfec-core-ias,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.159,cmfec-prod-ecweixinserver001,cmfec-core-weixinserver,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.16.160,cmfec-prod-ecweixinserver002,cmfec-core-weixinserver,基金-母公司电商,tanzj&xiegb&huyy&yanyn,zhaolh
172.19.16.161,cmfec-prod-ecfundtrade001,cmfec-core-fundtrade,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.162,cmfec-prod-ecfundtrade002,cmfec-core-fundtrade,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.169,cmfec-prod-engine001,cmfec-core-engine,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.170,cmfec-prod-ecinnergw001,cmfec-gw-innergw,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.171,cmfec-prod-ecinnergw002,cmfec-gw-innergw,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.172,cmfec-prod-opweb001,cmfec-core-opweb&cmfec-core-contentopweb&cmfec-core-portalopweb,基金-母公司电商&基金-母公司电商&基金-母公司电商,tanzj&xiegb&huyy&yanyn&lvzl&liuhl,wangy2&zhaolh
172.19.16.173,cmfec-prod-exteriorgw001,cmfec-gw-exteriorgw,基金-母公司电商,tanzj&xiegb&yanyn&lvzl,zhaolh
172.19.16.174,cmfec-prod-exteriorgw002,cmfec-gw-exteriorgw,基金-母公司电商,tanzj&xiegb&yanyn&lvzl,zhaolh
172.19.16.175,cmfec-prod-ccb-front001, 电商建行网银前置CCB-Front,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.176,cmfec-prod-eccrmgw001,cmfec-gw-crmgw,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
172.19.16.177,cmfec-prod-eccrmgw002,cmfec-gw-crmgw,基金-母公司电商,tanzj&xiegb&yanyn,zhaolh
