ip,hostname,app,businesses,dev,own
192.168.8.15,virus2-ext,终端防病毒,基金-终端防病毒系统,lijl2,lijl2
172.18.0.35,KINGDEE,金蝶财务系统,基金-金蝶财务系统,zhouyao,denglm
172.18.3.63,cmwa-auto-download02,银行间交易-RPA,场外交易-数据网关,huangchao,wangy2
192.168.6.84,MSLYNCOFF,LyncMP,基金-协同办公系统,lijl2,lijl2
192.168.6.189,File_Download,资讯数据下载&资讯数据—万德&资讯数据—天相&资讯数据—财汇&资讯数据—聚源&资讯数据—中证指数,基金-资讯数据下载&基金-资讯数据下载&基金-资讯数据下载&基金-资讯数据下载&基金-资讯数据下载&基金-资讯数据下载,linpc&wuys,linpc&wuys
192.168.7.25,WIN-8Q4F0OEM1UE,招商香港CRMWeb,招商香港-CRM系统,xiaox,zhaolh
192.168.6.83,MSLYNCSQL,LyncMP,基金-协同办公系统,lijl2,lijl2
192.168.6.122,CMF-YGZ,用友软件,基金-营改增系统,zhouyao,zhouyao
192.168.6.131,CMWABankFront,财富-电商运营服务&财富-销售资金平台-连接银行服务,财富-电子商务&财富-财富销售资金系统,ex-chenbq&wangjf&zuotc,wangy2
192.168.6.110,MSG-AGENT,财富-公共-短信服务,财富-公共系统,ex-chenbq&wangjf&zuotc,wangy2
192.168.6.171,time3,时间同步服务,时间同步服务,xieys,xieys
192.168.6.161,WEB-TIANRUAN,招告信息披露,基金-招告信披系统,huangwj,caiyg
172.18.0.172,CMWA-FDEPSvr02,财富深证通MR,财富-深证通FDEP消息系统,linpc,linpc
172.18.3.107,time3,时间同步服务,时间同步服务,xieys,xieys
172.18.3.134,Quant-Monitor,基金-量化组合交易系统,基金-组合指令辅助工具,kongwt,wangy2&kongwt
172.18.3.154,SZT-Fileexchange2,深证通FISP&深证通-销售费用核对,基金-深证通平台&基金-深证通平台,linpc,linpc
172.18.3.153,SZT-Fileexchange,深证通文件传输,基金-深证通平台,linpc,linpc
172.18.4.43,tdhes2,基金-机器学习SOPHON应用,基金-机器学习系统,zhuyy,zhuyy
172.18.0.9,CMFIPRDWSUS01,WSUS Windows更新服务器,基金-Windows补丁管理系统,lijl2,lijl2
172.18.0.62,CITRIXAPPSVR02,Citrix,基金-虚拟应用发布平台,lijl2,lijl2
172.18.3.232,cmfarchdb,CMFARCHDB基金归档数据库&CMFARCHDB数据库,生产环境ORACLE数据库&生产环境ORACLE数据库,,xieys&liup1
192.168.22.175,CMWA-zyt-apache1,财富-招赢通-nginx,财富-招赢通业务,ex-chenbq&wangjf&zuotc,wangy2
192.168.6.123,BaiWangsk,百旺税控-基金,基金-百旺税控系统,linpc,linpc
192.168.6.174,FA-zhongzhai-Do,银行间交易-RPA&基金-RPA,场外交易-数据网关&基金-RPA,huangchao&lihy2&liuyi,wangy2&caiyg&lihy2&liuyi
